id,input,output,exclusive
4.3,1_LA 2_MITAD 3_DE 4_det 5_n000000,5_n000000 2_MITAD 4_det,
5.2,1_rn 2_* 3_v000000 4_v000000 5_v000000,2_* 3_v000000 4_v000000 5_v000000 1_rn ,9
5.2,1_rn 2_* 3_v000000 4_v000000,2_* 3_v000000 4_v000000 1_rn ,9
5.2,1_rn 2_* 3_v000000,2_* 3_v000000 1_rn ,9
5.3,1_va00000 2_v000000,2_v000000,
5.3,1_vs00000 2_v000000,2_v000000,
5.4,1_v000000 2_vmg0000,2_vmg0000 1_v000000,
5.4,1_v000000 2_vmn0000,2_vmn0000 1_v000000,
5.4,1_v000000 2_cs 3_vmn0000,3_vmn0000 1_v000000,
5.4,1_v000000 2_sp000 3_vmn0000,3_vmn0000 1_v000000,
5.4,1_v000000 2_vmn0000 3_vmg0000,3_vmg0000 2_vmn0000 1_v000000,
5.4,1_v000000 2_vmn0000 3_sp000 4_vmn0000,4_vmn0000 2_vmn0000 1_v000000,
5.4,1_v000000 2_cs 3_vmn0000 4_vmg0000,4_vmg0000 3_vmn0000 1_v000000,
5.4,1_v000000 2_cs 3_vmn0000 4_sp000 5_vmn0000,5_vmn0000 3_vmn0000 1_v000000,
1.3,1_pp0c0n00 2_verb ,1_pp0c0n00 2_verb ,8
1.3,1_pp0c0000 2_verb ,2_verb 1_pp0c0000 ,8
1.4,1_verb 2_* 3_adp 4_* 5_pron 6_* 7_n000000 8_*,7_n000000 8_* 1_verb 2_* 4_* 5_pron 6_*,
1.4,1_verb 2_* 3_adp 4_* 5_n000000 6_* 7_n000000 8_*,7_n000000 8_* 1_verb 2_* 4_* 5_n000000 6_*,3
1.4,1_verb 2_* 3_n000000 4_* 5_adp 6_* 7_pron 8_*,3_n000000 4_* 1_verb 2_* 6_* 7_pron 8_*,3
1.4,1_verb 2_* 3_n000000 4_* 5_adp 6_* 7_n000000 8_*,3_n000000 4_* 1_verb 2_* 6_* 7_n000000 8_*,3
1.3,1_verb 2_* 3_adp 4_* 5_pron 6_*,1_verb 2_* 4_* 5_pron 6_*,3
1.3,1_verb 2_* 3_adp 4_* 5_n000000 6_*,1_verb 2_* 4_* 5_n000000 6_*,3
1.3,1_verb 2_* 3_n000000 4_*,3_n000000 4_* 1_verb 2_*,3
1.1,1_dt0000 2_*,2_* 1_dt0000,
1.1,1_pt000000 2_*,2_* 1_pt000000,
1.2,1_* 2_AYER,2_AYER 1_*,1
1.2,1_* 2_MAÑANA,2_MAÑANA 1_*,1
1.2,1_* 2_HOY,2_HOY 1_*,1
1.2,1_* 2_v00s000 3_*,0_PASADO 1_* 2_v00s000 3_*,1
1.2,1_* 2_v00f000 3_*,0_FUTURO 1_* 2_v00f000 3_*,1
5.1,1_SER,,
5.1,1_ESTAR,,
2.1,1_da0000,,
2.1,1_EL,,
2.1,1_UN,,
2.1,1_UNA,,
0.1,1_adp,,
0.2,1_cconj,,
0.3,1_punct,,
